Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF258987,Ascenseur,Non,49 BOULEVARD DE L EUROPE ,OULLINS PIERRE BENITE,71,LES JARDINS D'ELSA,Kenzy CHABBI,"49 BOULEVARD DE L EUROPE , OULLINS PIERRE BENITE, France",4.806468,45.7099158
1,Agence Genas,AF258988,Ascenseur,Non,20 RUE  VOLTAIRE ,OULLINS PIERRE BENITE,71,LES JARDINS D'ELSA,Kenzy CHABBI,"20 RUE  VOLTAIRE , OULLINS PIERRE BENITE, France",4.8213703,45.7033545
1,Agence Genas,AF259001,Ascenseur,Non,6 RUE LEON FABRE,VILLEURBANNE,27,COTE PARCS,Luc CHAROLLAIS,"6 RUE LEON FABRE, VILLEURBANNE, France",4.8734225,45.7787571
1,Agence Genas,AF259002,Ascenseur,Non,7-9 Rue Jean-Marie Leclair,LYON,72,GIE UPI LYON - BATIMENT LECLAIR - E47800,Nouredine BOUNAAS,"7-9 Rue Jean-Marie Leclair, LYON, France",4.8063728,45.7703798
1,Agence Genas,AF259003,Ascenseur,Non,7-9 Rue Jean-Marie Leclair,LYON,72,GIE UPI LYON - BATIMENT LECLAIR - E47800,Nouredine BOUNAAS,"7-9 Rue Jean-Marie Leclair, LYON, France",4.8063728,45.7703798
1,Agence Genas,AF259004,Ascenseur,Non,7-9 Rue Jean-Marie Leclair,LYON,72,GIE UPI LYON - BATIMENT LECLAIR - E47800,Nouredine BOUNAAS,"7-9 Rue Jean-Marie Leclair, LYON, France",4.8063728,45.7703798
1,Agence Genas,AF259005,Ascenseur,Non,47 Rue Sergent Michel Berthet,LYON,72,GIE UPI LYON - E47800,Nouredine BOUNAAS,"47 Rue Sergent Michel Berthet, LYON, France",4.8058397,45.7683304
1,Agence Genas,AF259006,Ascenseur,Non,47 Rue Sergent Michel Berthet,LYON,72,GIE UPI LYON - E47800,Nouredine BOUNAAS,"47 Rue Sergent Michel Berthet, LYON, France",4.8058397,45.7683304
1,Agence Genas,AF259007,Ascenseur,Non,47 Rue Sergent Michel Berthet,LYON,72,GIE UPI LYON - E47800,Nouredine BOUNAAS,"47 Rue Sergent Michel Berthet, LYON, France",4.8058397,45.7683304
1,Agence Genas,AF259008,Ascenseur,Non,47 Rue Sergent Michel Berthet,LYON,72,GIE UPI LYON - E47800,Nouredine BOUNAAS,"47 Rue Sergent Michel Berthet, LYON, France",4.8058397,45.7683304
1,Agence Genas,AF259009,Ascenseur,Non,47 Rue Sergent Michel Berthet,LYON,72,GIE UPI LYON - E47800,Nouredine BOUNAAS,"47 Rue Sergent Michel Berthet, LYON, France",4.8058397,45.7683304
1,Agence Genas,AF259010,Ascenseur,Non,47 Rue Sergent Michel Berthet,LYON,72,GIE UPI LYON - E47800,Nouredine BOUNAAS,"47 Rue Sergent Michel Berthet, LYON, France",4.8058397,45.7683304
1,Agence Genas,AF259020,Ascenseur,Non,1 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"1 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7849771,45.7356785
